codigo_sucursal,fecha_cierre_comercial,SKU_codigo,SKU_descripcion,Stock_unidades,unidad,n_distribuidor
71,2025-05-10,NXM-72273-96,Leche,11,PAQ,2
58,2025-05-10,YZK-06087-98,Pan,33,UNI,2
70,2025-05-10,SZJ-76414-24,Arroz,43,UNI,2
52,2025-05-10,LEK-96807-82,Azúcar,0,PAQ,2
73,2025-05-10,GET-58791-09,Aceite,0,UNI,2
63,2025-05-10,HGA-86693-42,Harina,24,UNI,2
58,2025-05-10,FHG-40571-57,Sal,45,UNI,2
70,2025-05-10,BWL-77714-70,Café,16,PAQ,2
55,2025-05-10,PQX-59844-04,Té,17,PAQ,2
63,2025-05-10,ORZ-56803-77,Galletas,39,UNI,2
