codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta,n_distribuidor
65,9004,2025-06-08,NXM-72273-96,11,8449.89,EFE,2
61,5623,2025-06-08,YZK-06087-98,24,10332.59,CEX,2
63,7967,2025-06-08,SZJ-76414-24,9,6421.38,CEX,2
63,7209,2025-06-08,LEK-96807-82,2,869.88,CEX,2
68,7865,2025-06-08,GET-58791-09,1,765.73,EFE,2
51,2260,2025-06-08,HGA-86693-42,28,8135.73,EFE,2
60,1668,2025-06-08,FHG-40571-57,34,16161.84,CEX,2
59,8509,2025-06-08,BWL-77714-70,25,16774.89,EFE,2
55,4919,2025-06-08,PQX-59844-04,16,8128.53,CEX,2
74,2429,2025-06-08,ORZ-56803-77,20,12402.43,EFE,2
